instance solosat solosat_v_3 
graphs/hc-unknown-26-3-1.col 0.13 0.18 
graphs/hc-unknown-26-3-2.col 0.38 0.34 
graphs/hc-unknown-26-3-3.col 0.14 0.22 
graphs/hc-unknown-26-4-1.col 0.13 0.18 
graphs/hc-unknown-26-4-2.col 0.12 0.19 
graphs/hc-unknown-26-4-3.col 0.11 0.15 
graphs/hc-unknown-26-5-1.col 0.13 0.12 
graphs/hc-unknown-26-5-2.col 0.12 0.13 
graphs/hc-unknown-26-5-3.col 0.1 0.23 
graphs/hc-unknown-26-6-1.col 0.11 0.11 
graphs/hc-unknown-26-6-2.col 0.09 0.24 
graphs/hc-unknown-26-6-3.col 0.11 0.26 
graphs/hc-unknown-26-7-1.col 0.15 0.12 
graphs/hc-unknown-26-7-2.col 0.09 0.12 
graphs/hc-unknown-26-7-3.col 0.08 0.11 
graphs/hc-unknown-28-3-1.col 0.16 0.24 
graphs/hc-unknown-28-3-2.col 0.14 0.2 
graphs/hc-unknown-28-3-3.col 2.82 3.47 
graphs/hc-unknown-28-4-1.col 0.13 0.27 
graphs/hc-unknown-28-4-2.col 0.14 0.39 
graphs/hc-unknown-28-4-3.col 0.19 0.33 
graphs/hc-unknown-28-5-1.col 0.13 0.25 
graphs/hc-unknown-28-5-2.col 0.15 0.32 
graphs/hc-unknown-28-5-3.col 0.14 0.28 
graphs/hc-unknown-28-6-1.col 0.14 0.21 
graphs/hc-unknown-28-6-2.col 0.13 0.21 
graphs/hc-unknown-28-6-3.col 0.12 0.17 
graphs/hc-unknown-28-7-1.col 0.14 0.14 
graphs/hc-unknown-28-7-2.col 0.14 0.14 
graphs/hc-unknown-28-7-3.col 0.14 0.21 
graphs/hc-unknown-30-3-1.col 0.22 0.36 
graphs/hc-unknown-30-3-2.col 0.27 1.85 
graphs/hc-unknown-30-3-3.col 0.72 0.34 
graphs/hc-unknown-30-4-1.col 0.31 0.6 
graphs/hc-unknown-30-4-2.col 0.19 0.93 
graphs/hc-unknown-30-4-3.col 0.17 0.23 
graphs/hc-unknown-30-5-1.col 0.19 0.24 
graphs/hc-unknown-30-5-2.col 0.18 0.23 
graphs/hc-unknown-30-5-3.col 0.22 0.34 
graphs/hc-unknown-30-6-1.col 0.17 0.2 
graphs/hc-unknown-30-6-2.col 0.18 0.35 
graphs/hc-unknown-30-6-3.col 0.24 0.21 
graphs/hc-unknown-30-7-1.col 0.16 0.27 
graphs/hc-unknown-30-7-2.col 0.19 0.45 
graphs/hc-unknown-30-7-3.col 0.17 0.32 
graphs/hc-unknown-32-3-1.col 0.05 0.07 
graphs/hc-unknown-32-3-2.col 0.27 0.43 
graphs/hc-unknown-32-3-3.col 0.65 1.37 
graphs/hc-unknown-32-4-1.col 0.05 0.07 
graphs/hc-unknown-32-4-2.col 0.22 0.75 
graphs/hc-unknown-32-4-3.col 0.53 0.74 
graphs/hc-unknown-32-5-1.col 0.37 0.52 
graphs/hc-unknown-32-5-2.col 0.68 0.55 
graphs/hc-unknown-32-5-3.col 0.31 0.37 
graphs/hc-unknown-32-6-1.col 0.21 0.42 
graphs/hc-unknown-32-6-2.col 0.25 0.33 
graphs/hc-unknown-32-6-3.col 0.22 0.44 
graphs/hc-unknown-32-7-1.col 0.2 0.26 
graphs/hc-unknown-32-7-2.col 0.21 0.23 
graphs/hc-unknown-32-7-3.col 0.24 0.44 
graphs/hc-unknown-34-3-1.col 0.4 1.04 
graphs/hc-unknown-34-3-2.col 0.07 0.08 
graphs/hc-unknown-34-3-3.col 0.29 0.72 
graphs/hc-unknown-34-4-1.col 0.29 0.83 
graphs/hc-unknown-34-4-2.col 0.36 0.49 
graphs/hc-unknown-34-4-3.col 0.35 0.7 
graphs/hc-unknown-34-5-1.col 0.31 0.91 
graphs/hc-unknown-34-5-2.col 0.29 0.3 
graphs/hc-unknown-34-5-3.col 0.29 0.72 
graphs/hc-unknown-34-6-1.col 0.31 0.41 
graphs/hc-unknown-34-6-2.col 0.32 0.78 
graphs/hc-unknown-34-6-3.col 0.29 0.78 
graphs/hc-unknown-34-7-1.col 0.27 0.41 
graphs/hc-unknown-34-7-2.col 0.25 0.29 
graphs/hc-unknown-34-7-3.col 0.33 0.32 
graphs/hc-unknown-36-3-1.col 0.44 0.68 
graphs/hc-unknown-36-3-2.col 0.98 2.07 
graphs/hc-unknown-36-3-3.col 0.54 0.92 
graphs/hc-unknown-36-4-1.col 0.74 2.06 
graphs/hc-unknown-36-4-2.col 0.38 1.15 
graphs/hc-unknown-36-4-3.col 0.44 0.91 
graphs/hc-unknown-36-5-1.col 0.51 1.33 
graphs/hc-unknown-36-5-2.col 0.63 1.17 
graphs/hc-unknown-36-5-3.col 1.35 1.47 
graphs/hc-unknown-36-6-1.col 0.55 0.51 
graphs/hc-unknown-36-6-2.col 0.38 0.7 
graphs/hc-unknown-36-6-3.col 0.4 0.69 
graphs/hc-unknown-36-7-1.col 0.33 0.71 
graphs/hc-unknown-36-7-2.col 0.48 0.5 
graphs/hc-unknown-36-7-3.col 0.39 0.52 
graphs/hc-unknown-38-3-1.col 8.22 T 
graphs/hc-unknown-38-3-2.col 0.93 1.69 
graphs/hc-unknown-38-3-3.col 0.69 0.66 
graphs/hc-unknown-38-4-1.col 2.73 2.35 
graphs/hc-unknown-38-4-2.col 2.02 1.78 
graphs/hc-unknown-38-4-3.col 1.45 0.7 
graphs/hc-unknown-38-5-1.col 0.43 1.79 
graphs/hc-unknown-38-5-2.col 0.53 1.75 
graphs/hc-unknown-38-5-3.col 1.22 1.12 
graphs/hc-unknown-38-6-1.col 0.49 0.79 
graphs/hc-unknown-38-6-2.col 0.56 0.94 
graphs/hc-unknown-38-6-3.col 0.49 1.26 
graphs/hc-unknown-38-7-1.col 0.41 0.62 
graphs/hc-unknown-38-7-2.col 0.4 0.81 
graphs/hc-unknown-38-7-3.col 0.44 0.66 
graphs/hc-unknown-40-3-1.col 0.75 0.78 
graphs/hc-unknown-40-3-2.col 2.19 5.24 
graphs/hc-unknown-40-3-3.col 0.58 0.92 
graphs/hc-unknown-40-4-1.col 1.12 0.62 
graphs/hc-unknown-40-4-2.col 3.83 4.12 
graphs/hc-unknown-40-4-3.col 0.11 0.13 
graphs/hc-unknown-40-5-1.col 1.58 3.71 
graphs/hc-unknown-40-5-2.col 0.62 1.22 
graphs/hc-unknown-40-5-3.col 2.34 1.87 
graphs/hc-unknown-40-6-1.col 0.79 1.46 
graphs/hc-unknown-40-6-2.col 0.55 1.28 
graphs/hc-unknown-40-6-3.col 0.56 1.01 
graphs/hc-unknown-40-7-1.col 0.64 0.66 
graphs/hc-unknown-40-7-2.col 0.49 0.82 
graphs/hc-unknown-40-7-3.col 0.54 1.07 
